Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
,http://www.wikidata.org/entity/Q28813390,Charles Herman Strickler Wilmans,Baltimore Museum of Art,naïve art,Baltimore Museum of Art,,Joshua Johnson,oil paint,,,public domain,,1803,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Herman%20Strickler%20Wilmans%20by%20Joshua%20Johnson.jpg
Kurfürst Wolfgang Wilhelm von Pfalz-Neuburg,http://www.wikidata.org/entity/Q30094012,Portrait of Wolfgang Wilhelm van Wittelsbach,Alte Pinakothek,,Bavarian State Painting Collections,,Anthony van Dyck,Null,,,public domain,,1630,http://commons.wikimedia.org/wiki/Special:FilePath/Anthonis%20van%20Dyck%20%28Schule%29%20-%20Kurf%C3%BCrst%20Wolfgang%20Wilhelm%20von%20Pfalz-Neuburg%20-%205003%20-%20Bavarian%20State%20Painting%20Collections.jpg
Aufbruch zur Reiherbeize,http://www.wikidata.org/entity/Q30097945,Aufbruch zur Reiherbeize,Bavarian State Painting Collections,,Bavarian State Painting Collections,,August Querfurt,Null,,,public domain,,1728,http://commons.wikimedia.org/wiki/Special:FilePath/August%20Querfurt%20-%20Aufbruch%20zur%20Reiherbeize%20-%206530%20-%20Bavarian%20State%20Painting%20Collections.jpg
Bärenjagd,http://www.wikidata.org/entity/Q30093734,Bärenjagd,Alte Pinakothek,,Bavarian State Painting Collections,,Carl Borromäus Andreas Ruthart,Null,,,public domain,,1666,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Borrom%C3%A4us%20Andreas%20Ruthart%20-%20B%C3%A4renjagd%20-%205899%20-%20Bavarian%20State%20Painting%20Collections.jpg
Bärenjagd,http://www.wikidata.org/entity/Q29903453,Dogs attacking a bear and her cubs,Alte Pinakothek,,Bavarian State Painting Collections,,Carl Borromäus Andreas Ruthart,oil paint,,,public domain,,1666,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Borrom%C3%A4us%20Andreas%20Ruthart%20-%20B%C3%A4renjagd%20-%204869%20-%20Bavarian%20State%20Painting%20Collections.jpg
Bärenjagd,http://www.wikidata.org/entity/Q30094547,Bärenjagd,Bavarian State Painting Collections,,Bavarian State Painting Collections,,Carl Borromäus Andreas Ruthart,Null,,,public domain,,1666,http://commons.wikimedia.org/wiki/Special:FilePath/Carl%20Borrom%C3%A4us%20Andreas%20Ruthart%20-%20B%C3%A4renjagd%20-%201650%20-%20Bavarian%20State%20Painting%20Collections.jpg
Hirschjagd,http://www.wikidata.org/entity/Q30096863,Deer Hunting,Bavarian State Painting Collections,,Bavarian State Painting Collections,,Frans Snyders,oil paint,,,public domain,,1618,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Snyders%20-%20Hirschjagd%20-%205218%20-%20Bavarian%20State%20Painting%20Collections.jpg
Dame vor dem Spiegel,http://www.wikidata.org/entity/Q29881866,Woman before the Mirror,Alte Pinakothek,,Bavarian State Painting Collections,,Frans van Mieris the Elder,wood,,https://www.wga.hu/html/m/mieris/frans/woman_mi.html,public domain,,1670,http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20van%20Mieris%20d.%20%C3%84.%20001.jpg
Das Tischgebet der Spinnerin,http://www.wikidata.org/entity/Q29952218,The Prayer of the Spinner,Alte Pinakothek,,Bavarian State Painting Collections,,Gerrit Dou,oil paint,,https://www.wga.hu/html/d/dou/1/prayer.html,public domain,,1645,http://commons.wikimedia.org/wiki/Special:FilePath/Gerard%20Dou%20-%20The%20Prayer%20of%20the%20Spinner%20-%20WGA06643.jpg
Knabe mit Blumen und Papagei,http://www.wikidata.org/entity/Q29919660,Cherub with Flowers and Parrot,Alte Pinakothek,,Bavarian State Painting Collections,,Herman van der Mijn,oil paint,,,public domain,,1713,http://commons.wikimedia.org/wiki/Special:FilePath/Herman%20van%20der%20Mijn%20-%20Knabe%20mit%20Blumen%20und%20Papagei%20-%205233%20-%20Bavarian%20State%20Painting%20Collections.jpg
