Title of Artwork,Painting QID,Painting Label,Location,Movement,Collection,Owned By,Artist,Made From Material,Country,Described At URL,Copyright Status,Time Period,Year of Creation,Image
Pleasures of the Hunt,http://www.wikidata.org/entity/Q78718602,Pleasures of the Hunt,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1800,http://commons.wikimedia.org/wiki/Special:FilePath/MET%20DP153186.jpg
Portrait of a Child,http://www.wikidata.org/entity/Q19924955,Portrait of a Child,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,,,1835,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20a%20Child%20MET%20APS6741.jpg
Puppies Playing beside a Palm Tree and Garden Rock,http://www.wikidata.org/entity/Q78844031,Puppies Playing beside a Palm Tree and Garden Rock,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1449,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20Puppies%20Playing%20beside%20a%20Palm%20Tree%20and%20Garden%20Rock%20-%201981.285.14%20-%20Metropolitan%20Museum%20of%20Art.jpg
Roundel with Annunciation to the Shepherds,http://www.wikidata.org/entity/Q20201658,Roundel with Annunciation to the Shepherds,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1505,http://commons.wikimedia.org/wiki/Special:FilePath/Roundel%20with%20Annunciation%20to%20the%20Shepherds%20MET%20cdi32-24-23.jpg
Susanna and the Elders,http://www.wikidata.org/entity/Q19912913,Susanna and the Elders,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,oil paint,,,public domain,,1618,http://commons.wikimedia.org/wiki/Special:FilePath/Susanna%20and%20the%20Elders%20MET%20ep91.26.4.bw.R.jpg
Tartar Officer with Blonde Lady,http://www.wikidata.org/entity/Q78797745,Tartar Officer with Blonde Lady,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,,,1849,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20Tartar%20Officer%20with%20Blonde%20Lady%20-%2047.135.2a%E2%80%93h%20-%20Metropolitan%20Museum%20of%20Art.jpg
The Adoration of the Magi,http://www.wikidata.org/entity/Q19912072,The Adoration of the Magi,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,oil paint,,,public domain,,1520,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Adoration%20of%20the%20Magi%20MET%20David%20Adoration%20IRR.jpg
The Four Deities of Kōyasan Temple Complex,http://www.wikidata.org/entity/Q78852759,The Four Deities of Kōyasan Temple Complex,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1379,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20The%20Four%20Deities%20of%20K%C5%8Dyasan%20Temple%20Complex%20-%201994.309%20-%20Metropolitan%20Museum%20of%20Art.jpg
"The Goddess Durga Killing the Buffalo Demon, Mahisha (Mahishasura Mardini)",http://www.wikidata.org/entity/Q78710484,"The Goddess Durga Killing the Buffalo Demon, Mahisha (Mahishasura Mardini)",Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1760,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20The%20Goddess%20Durga%20Killing%20the%20Buffalo%20Demon%2C%20Mahisha%20%28Mahishasura%20Mardini%29%20-%202008.359.8%20-%20Metropolitan%20Museum%20of%20Art.jpg
The Hunting Party—New Jersey,http://www.wikidata.org/entity/Q19924103,The Hunting Party—New Jersey,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,oil paint,,,public domain,,1750,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Hunting%20Party%E2%80%94New%20Jersey%20MET%20DT9458.jpg
The Last Supper,http://www.wikidata.org/entity/Q19912260,The Last Supper,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,oil paint,,,public domain,,1515,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Last%20Supper%20MET%20DT2910.jpg
The Nymph of Fontainebleau,http://www.wikidata.org/entity/Q19905421,The Nymph of Fontainebleau,Metropolitan Museum of Art,School of Fontainebleau,Metropolitan Museum of Art,,,wood,United States of America,,public domain,,1600,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Nymph%20of%20Fontainebleau%20MET%20DT5184.jpg
The Tale of the Bamboo Cutter,http://www.wikidata.org/entity/Q78848576,The Tale of the Bamboo Cutter,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1683,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20The%20Tale%20of%20the%20Bamboo%20Cutter%20-%2021.174.1a%E2%80%93c%20-%20Metropolitan%20Museum%20of%20Art.jpg
"The Theological Virtues: Faith, Charity, Hope",http://www.wikidata.org/entity/Q19914254,"The Theological Virtues: Faith, Charity, Hope",Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1500,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Theological%20Virtues-%20Faith%2C%20Charity%2C%20Hope%20MET%20DT7353.jpg
Vajrabhairava with His Consort Vajravetali,http://www.wikidata.org/entity/Q78916076,Vajrabhairava with His Consort Vajravetali,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,Null,,,public domain,,1749,http://commons.wikimedia.org/wiki/Special:FilePath/MET%20DP259358.jpg
View from Staten Island,http://www.wikidata.org/entity/Q20173969,View from Staten Island,Metropolitan Museum of Art,,Metropolitan Museum of Art,,,oil paint,,,,,1855,http://commons.wikimedia.org/wiki/Special:FilePath/View%20from%20Staten%20Island%20MET%20DP270986.jpg
,http://www.wikidata.org/entity/Q66976211,Hyman's Tobacco Store,Montreal Museum of Fine Arts,,Montreal Museum of Fine Arts,,Adrien Hébert,oil paint,,,public domain,,1937,http://commons.wikimedia.org/wiki/Special:FilePath/MBAM%20H%C3%A9bert%20-%20Le%20d%C3%A9bit%20de%20tabac%20Hyman.jpg
"Portrait of a man, possibly Joan Hulft (1610-1677),  with a dog, seated at a table with a clock",http://www.wikidata.org/entity/Q30228730,"Portrait of a man, possibly Joan Hulft (1610-1677), with a dog, seated at a table with a clock",Montreal Museum of Fine Arts,,Montreal Museum of Fine Arts,Claude Tolozan,Bartholomeus van der Helst,oil paint,,,public domain,,1644,http://commons.wikimedia.org/wiki/Special:FilePath/Bartholomeus%20van%20der%20Helst%20-%20Portrait%20of%20a%20Man%201918%20186%20IN1.jpg
Alexander der Große und Campaspe im Atelier des Apelles,http://www.wikidata.org/entity/Q18522901,Apelles Painting Campaspe,Montreal Museum of Fine Arts,Rococo,Montreal Museum of Fine Arts,,Giovanni Battista Tiepolo,oil paint,,https://www.mbam.qc.ca/en/works/25234/,public domain,,1725,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Battista%20Tiepolo%20002.jpg
The return of the prodigal son (Luke 15:18-24),http://www.wikidata.org/entity/Q29511661,Return of the Prodigal Son,Montreal Museum of Fine Arts,,Montreal Museum of Fine Arts,Michal Hornstein,Jan Steen,oil paint,,https://archive.org/stream/catalogueraisonn01hofsuoft#page/22/mode/1up,public domain,,1669,http://commons.wikimedia.org/wiki/Special:FilePath/The%20return%20of%20the%20prodigal%20son%2C%20by%20Jan%20Steen.jpg
Large and Small Dog,http://www.wikidata.org/entity/Q18890398,Large and Small Dog,Munch Museum,,Munch Museum,,Edvard Munch,oil paint,,https://foto.munchmuseet.no/fotoweb/archives/5026-Malerier/Arkiv/M0273_20061218.tif.info,public domain,,1911,http://commons.wikimedia.org/wiki/Special:FilePath/Edvard%20Munch%20-%20Large%20and%20Small%20Dog%20-%20MM.M.00273%20-%20Munch%20Museum.jpg
Portret van een onbekend kind met jachtbuit,http://www.wikidata.org/entity/Q96310790,Portrait of a Girl as Diana,Munich Central Collecting Point,,Munich Central Collecting Point,,Anthony van Dyck,oil paint,,,,,1627,http://commons.wikimedia.org/wiki/Special:FilePath/Bambina%20genovese%20come%20Diana.jpg
Four children with a dog and a cat in a window,http://www.wikidata.org/entity/Q66436491,Four Children with a Dog and a Cat,Munich Central Collecting Point,,Munich Central Collecting Point,Edmond James de Rothschild,Caspar Netscher,oil paint,,,public domain,,1668,
"""Hohe Zeche"" (Gruppe von Musikanten auf der Rast im Wirtshaus)",http://www.wikidata.org/entity/Q111645906,"The Day's takings, dated 1855",Mauerbach Charterhouse,,Munich Central Collecting Point,,Reinhard Sebastian Zimmermann,oil paint,,,,,1855,http://commons.wikimedia.org/wiki/Special:FilePath/Reinhard%20Sebastian%20Zimmermann%20%281815-1893%29%20-%20%22Hohe%20Zeche%22%20%28Gruppe%20von%20Musikanten%20auf%20der%20Rast%20im%20Wirtshaus%29%20-%202391%20-%20F%C3%BChrermuseum.jpg
La Tasse de thé,http://www.wikidata.org/entity/Q99936270,The Tea Cup,Municipal museum (Saverne),,Municipal museum (Saverne),,Alfred Philippe Roll,oil paint,France,,public domain,,1918,http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Roll%2C%20La%20Tasse%20de%20th%C3%A9.jpg
,http://www.wikidata.org/entity/Q26839341,Dog with a Hat,Mus�e Alphonse-Georges-Poulain,,Mus�e Alphonse-Georges-Poulain,,Paul Jouve,oil paint,,,,,1950,
,http://www.wikidata.org/entity/Q26838151,Korthals Dog Head,Mus�e Alphonse-Georges-Poulain,,Mus�e Alphonse-Georges-Poulain,,Richard Fath,paper,,,,,1925,
Hercules's dog discovers tyrian purple,http://www.wikidata.org/entity/Q13571537,Hercules's dog discovers tyrian purple,Mus�e Bonnat-Helleu,,Mus�e Bonnat-Helleu,,Peter Paul Rubens,oil paint,,https://webmuseo.com/ws/musee-bonnat-helleu/app/collection/record/1923,public domain,,1636,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Paul%20Rubens%20-%20La%20d%C3%A9couverte%20de%20la%20pourpre.JPG
Vue de l'église Saint-Germain-de-Charonne,http://www.wikidata.org/entity/Q21006580,Saint-Germain de Charonne,Mus�e Carnavalet,,Mus�e Carnavalet,,Étienne Bouhot,oil paint,,http://parismuseescollections.paris.fr/en/node/152055,public domain,,1836,http://commons.wikimedia.org/wiki/Special:FilePath/EtienneBouhot-SaintGermainDeCharonne.JPG
"Le Couronnement de Marie de M�dicis, le 13 mai 1610",http://www.wikidata.org/entity/Q104373698,Coronation of Marie de' Medici in Saint-Denis,Mus�e Carnavalet,,Mus�e Carnavalet,,Alexandre-Marie Colin,Null,,http://parismuseescollections.paris.fr/en/node/152421,public domain,,1835,http://commons.wikimedia.org/wiki/Special:FilePath/Colin%20-%20Le%20Couronnement%20de%20Marie%20de%20M%C3%A9dicis%2C%20le%2013%20mai%201610%20-%20P409%20-%20Mus%C3%A9e%20Carnavalet.jpg
"Portrait d'Alphonse de Lamartine (1790-1869), poète et homme politique",http://www.wikidata.org/entity/Q104377255,"Portrait d'Alphonse de Lamartine (1790-1869), poète et homme politique",Mus�e Carnavalet,,Mus�e Carnavalet,,Elisa de Lamartine,oil paint,,http://parismuseescollections.paris.fr/en/node/152486,public domain,,1840,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89lisa%20de%20Lamartine%20-%20Portrait%20d%27Alphonse%20de%20Lamartine%20%281790-1869%29%2C%20po%C3%A8te%20et%20homme%20politique%20-%20P1507%20-%20Mus%C3%A9e%20Carnavalet.jpg
"Le Marché des Carmes, place Maubert",http://www.wikidata.org/entity/Q104371736,"Le Marché des Carmes, place Maubert",Mus�e Carnavalet,,Mus�e Carnavalet,,Emile Antoine Guillier,oil paint,,http://parismuseescollections.paris.fr/en/node/153072,public domain,,1880,http://commons.wikimedia.org/wiki/Special:FilePath/Emile%20Antoine%20Guillier%20-%20Le%20March%C3%A9%20des%20Carmes%2C%20place%20Maubert%20-%20P143%20-%20Mus%C3%A9e%20Carnavalet.jpg
Splendeur,http://www.wikidata.org/entity/Q104373208,Splendeur,Mus�e Carnavalet,,Mus�e Carnavalet,,Ernest Ange Duez,oil paint,,http://parismuseescollections.paris.fr/en/node/152908,public domain,,1874,http://commons.wikimedia.org/wiki/Special:FilePath/Ernest-Ange%20Duez%20-%20Splendeur%20-%20P2700%20-%20Mus%C3%A9e%20Carnavalet.jpg
"Le Matin, dit aussi Femme au chien",http://www.wikidata.org/entity/Q104373270,Woman with Dog,Mus�e Carnavalet,,Mus�e Carnavalet,,Ferdinand Heilbuth,oil paint,,http://parismuseescollections.paris.fr/en/node/153573,public domain,,1880,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Heilbuth%20-%20Le%20Matin%2C%20dit%20aussi%20Femme%20au%20chien%20-%20P2718%20-%20Mus%C3%A9e%20Carnavalet.jpg
Entrée des troupeaux à Paris,http://www.wikidata.org/entity/Q104373206,Entrée des troupeaux à Paris,Mus�e Carnavalet,,Mus�e Carnavalet,,Gaston Guignard,Null,,http://parismuseescollections.paris.fr/en/node/152884,public domain,,1889,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Gaston%20Guignard%20-%20Entr%C3%A9e%20des%20troupeaux%20%C3%A0%20Paris%20-%20P2293%20-%20Mus%C3%A9e%20Carnavalet.jpg
"Voltaire à son lever à Ferney, dictant à son secrétaire Collini",http://www.wikidata.org/entity/Q104377774,"Voltaire à son lever à Ferney, dictant à son secrétaire Collini",Mus�e Carnavalet,,Mus�e Carnavalet,,Jean Huber,oil paint,,http://parismuseescollections.paris.fr/en/node/152369,public domain,,1772,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Huber%20-%20Voltaire%20%C3%A0%20son%20lever%20%C3%A0%20Ferney%2C%20dictant%20%C3%A0%20son%20secr%C3%A9taire%20Collini%20-%20P168%20-%20Mus%C3%A9e%20Carnavalet.jpg
La Femme au chien,http://www.wikidata.org/entity/Q104387451,The Woman with a Dog,Mus�e Carnavalet,,Mus�e Carnavalet,,L. S. Jean,oil paint,,http://parismuseescollections.paris.fr/en/node/152357,public domain,,1830,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20-%20La%20Femme%20au%20chien%20-%20P800%20-%20Mus%C3%A9e%20Carnavalet%2001.jpg
"Portrait d'Apollonie Sabatier (1822-1889), dite ""La Présidente""",http://www.wikidata.org/entity/Q62123890,The lady with the small dog,Mus�e Carnavalet,,Mus�e Carnavalet,,Louis Gustave Ricard,oil paint,,http://parismuseescollections.paris.fr/en/node/111121,public domain,,1850,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Ricard%20-%20Portrait%20d%27Apollonie%20Sabatier%20%281822-1889%29%2C%20dite%20%22La%20Pr%C3%A9sidente%22%20-%20P2810%20-%20Mus%C3%A9e%20Carnavalet.jpg
Enfants jouant avec un chien,http://www.wikidata.org/entity/Q104377880,Enfants jouant avec un chien,Mus�e Carnavalet,,Mus�e Carnavalet,,Nicolas-Andr� Monsiau,Null,,http://parismuseescollections.paris.fr/en/node/153190,public domain,,1783,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas-Andr%C3%A9%20Monsiau%20-%20Enfants%20jouant%20avec%20un%20chien%20-%20P239%20-%20Mus%C3%A9e%20Carnavalet.jpg
"Une ambulance en 1814, pendant la campagne de France",http://www.wikidata.org/entity/Q104373253,"Une ambulance en 1814, pendant la campagne de France",Mus�e Carnavalet,,Mus�e Carnavalet,,Pierre-Roch Vigneron,Null,,http://parismuseescollections.paris.fr/en/node/153431,public domain,,1814,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Roch%20Vigneron%20-%20Une%20ambulance%20en%201814%2C%20pendant%20la%20campagne%20de%20France%20-%20P521%20-%20Mus%C3%A9e%20Carnavalet.jpg
Portrait d'homme avec un chien.,http://www.wikidata.org/entity/Q104349776,Portrait d'homme avec un chien.,Mus�e Carnavalet,,Mus�e Carnavalet,,,Null,,,public domain,,1810,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20Portrait%20d%27homme%20avec%20un%20chien.%20-%20P746%20-%20Mus%C3%A9e%20Carnavalet.jpg
Grue sur la Seine au pont Royal,http://www.wikidata.org/entity/Q104369335,Grue sur la Seine au pont Royal,Mus�e Carnavalet,,Mus�e Carnavalet,,,oil paint,,http://parismuseescollections.paris.fr/en/node/152946,public domain,,1880,http://commons.wikimedia.org/wiki/Special:FilePath/Anonymous%20-%20Grue%20sur%20la%20Seine%20au%20pont%20Royal%20-%20P139%20-%20Mus%C3%A9e%20Carnavalet.jpg
,http://www.wikidata.org/entity/Q42308290,,Mus�e d'art et d'histoire de Lisieux,,Mus�e d'art et d'histoire de Lisieux,,Pierre Duval Le Camus,oil paint,,,public domain,,,http://commons.wikimedia.org/wiki/Special:FilePath/Paysans%20occup%C3%A9s%20%C3%A0%20pr%C3%A9parer%20le%20chanvre%20devant%20la%20porte%20d%27une%20chaumi%C3%A8re.jpg
Addio Teresa,http://www.wikidata.org/entity/Q107331213,Addio Teresa,Mus�e d'Art et d'Histoire de Narbonne,,Mus�e d'Art et d'Histoire de Narbonne,,Adelaide Salles-Wagner,oil paint,France,https://webmuseo.com/ws/musees-narbonne/app/collection/record/474,public domain,,1865,http://commons.wikimedia.org/wiki/Special:FilePath/Ad%C3%A9la%C3%AFde%20Salles-Wagner%20-%20Addio%20Teresa%2002.jpg
Cavaliers devant la boutique d'un brocanteur,http://www.wikidata.org/entity/Q107711458,Horsemen in front of a second-hand dealer,Mus�e d'Art et d'Histoire de Narbonne,Orientalism,Mus�e d'Art et d'Histoire de Narbonne,,Giuseppe Gabani,oil paint,France,https://webmuseo.com/ws/musees-narbonne/app/collection/record/682,public domain,,1880,http://commons.wikimedia.org/wiki/Special:FilePath/%28Narbonne%29%20Cavaliers%20devant%20la%20boutique%20d%27un%20brocanteur%20-%20Giuseppe%20Gabani%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Narbonne.jpg
Chienne allaitant ses petits,http://www.wikidata.org/entity/Q107695521,Jean-Baptiste Oudry - Chienne allaitant ses petits,Mus�e d'Art et d'Histoire de Narbonne,,Mus�e d'Art et d'Histoire de Narbonne,,Jean-Baptiste Oudry,oil paint,,https://webmuseo.com/ws/musees-narbonne/app/collection/record/378,public domain,,1754,http://commons.wikimedia.org/wiki/Special:FilePath/%28Narbonne%29%20Chienne%20allaitant%20ses%20petits%20-%20Jean-Baptiste%20Oudry%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Narbonne.jpg
Paysage avec figures et animaux,http://www.wikidata.org/entity/Q107695468,Landscape with figures and animals,Mus�e d'Art et d'Histoire de Narbonne,,Mus�e d'Art et d'Histoire de Narbonne,,Lodewijk de Vadder,oil paint,France,https://webmuseo.com/ws/musees-narbonne/app/collection/record/769,public domain,,1632,http://commons.wikimedia.org/wiki/Special:FilePath/%28Narbonne%29%20Paysage%20avec%20figures%20et%20animaux%20-%20Lodewyk%20de%20Vadder%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Narbonne.jpg
Chasse au cerf par des amazones,http://www.wikidata.org/entity/Q107214997,Deer hunting by amazons,Mus�e d'Art et d'Histoire de Narbonne,,Mus�e d'Art et d'Histoire de Narbonne,,Paul de Vos,oil paint,France,https://webmuseo.com/ws/musees-narbonne/app/collection/record/776,public domain,,1639,http://commons.wikimedia.org/wiki/Special:FilePath/%28Narbonne%29%20Chasse%20aux%20cerfs%20par%20des%20amazones%20-%20Paul%20de%20Vos%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Narbonne.jpg
Berger et moutons,http://www.wikidata.org/entity/Q107170230,Shepherd and sheeps,Mus�e d'Art et d'Histoire de Narbonne,,Mus�e d'Art et d'Histoire de Narbonne,,Philipp Peter Roos,oil paint,France,https://webmuseo.com/ws/musees-narbonne/app/collection/record/850,public domain,,1700,http://commons.wikimedia.org/wiki/Special:FilePath/%28Narbonne%29%20Berger%20et%20moutons%20-%20Philipp-Peter%20Roos%20dit%20Rosa%20de%20Tivoli%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Narbonne.jpg
"Paons, chiens et oiseaux",http://www.wikidata.org/entity/Q107249267,"Peacocks, dogs and birds",Mus�e d'Art et d'Histoire de Narbonne,,Mus�e d'Art et d'Histoire de Narbonne,,Pieter Boel,oil paint,France,https://webmuseo.com/ws/musees-narbonne/app/collection/record/728,public domain,,1662,http://commons.wikimedia.org/wiki/Special:FilePath/%28Narbonne%29%20Paons%2C%20chiens%20et%20oiseaux%20-%20Pieter%20Boel%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Narbonne.jpg
Diane et Endymion,http://www.wikidata.org/entity/Q107156655,René-Antoine Houasse - Diane et Endymion,Mus�e d'Art et d'Histoire de Narbonne,,Mus�e d'Art et d'Histoire de Narbonne,,René-Antoine Houasse,oil paint,France,https://webmuseo.com/ws/musees-narbonne/app/collection/record/240,public domain,,1700,http://commons.wikimedia.org/wiki/Special:FilePath/%28Narbonne%29%20Diane%20et%20Endymion%20-%20Ren%C3%A9-Antoine%20Houasse%20-%20Mus%C3%A9e%20des%20Beaux-Arts%20de%20Narbonne.jpg
Étude de chien,http://www.wikidata.org/entity/Q43306643,Étude de chien,Mus�e d'art et d'histoire de Saint-Brieuc,,Mus�e d'art et d'histoire de Saint-Brieuc,,Yvonne de Kock,oil paint,,,public domain,,,http://commons.wikimedia.org/wiki/Special:FilePath/Etude-de-chien-yvonne-de-kock-musee-d-art-et-d-histoire-de-saint-brieuc-doc-58-cropped.jpg
,http://www.wikidata.org/entity/Q18177722,Homer and the Shepherds,Mus�e d'art et d'histoire de Saint-Lô,,Mus�e d'art et d'histoire de Saint-Lô,,Jean-Baptiste Camille Corot,oil paint,,https://collections.musees-normandie.fr/ark:/16418/msl1110961,public domain,,1845,http://commons.wikimedia.org/wiki/Special:FilePath/Homer%20and%20the%20Shepherds.jpg
,http://www.wikidata.org/entity/Q18938594,The Shepherdess Marie Ressort as a Child,Mus�e d'Art moderne de Troyes,,Mus�e d'Art moderne de Troyes,,Roger de La Fresnaye,oil paint,,,public domain,,1910,http://commons.wikimedia.org/wiki/Special:FilePath/Fresnaye-bergere.png
Le Balcon,http://www.wikidata.org/entity/Q775407,The Balcony,Mus�e d'Orsay,,Mus�e d'Orsay,,�douard Manet,oil paint,,,public domain,,1868,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20The%20Balcony%20-%20Google%20Art%20Project.jpg
,http://www.wikidata.org/entity/Q17492558,Avenue,Mus�e d'Orsay,,Mus�e d'Orsay,,�douard Vuillard,oil paint,,,public domain,,1907,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20vuillard%2C%20il%20viale%20%28sottobosco%20con%20dama%20col%20cane%29%2C%201907-08.JPG
,http://www.wikidata.org/entity/Q17491751,Jeanne Lanvin,Mus�e d'Orsay,,Mus�e d'Orsay,,�douard Vuillard,oil paint,,,public domain,,1933,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20vuillard%2C%20jeanne%20lanvin%2C%201903.JPG
,http://www.wikidata.org/entity/Q17491911,The contessa marie-blanche de polignac,Mus�e d'Orsay,,Mus�e d'Orsay,,�douard Vuillard,oil paint,,,public domain,,1930,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89douard%20vuillard%2C%20la%20contessa%20marie-blanche%20de%20polignac%2C%20s.d.JPG
,http://www.wikidata.org/entity/Q17493030,Orange Merchant,Mus�e des Beaux-Arts de Caen,,Mus�e d'Orsay,,Alexandre-Gabriel Decamps,oil paint,,,public domain,,1843,
,http://www.wikidata.org/entity/Q17495174,Portrait de la mère de l'artiste,Mus�e d'Orsay,,Mus�e d'Orsay,,Alfred Smith,oil paint,,,public domain,,,
,http://www.wikidata.org/entity/Q17495508,Rosa Bonheur,Palace of Fontainebleau,,Mus�e d'Orsay,,Anna Elizabeth Klumpke,Null,,,public domain,,1899,
,http://www.wikidata.org/entity/Q17492996,,Mus�e d'Orsay,,Mus�e d'Orsay,,Armand Point,oil paint,,,public domain,,1911,
,http://www.wikidata.org/entity/Q17491887,The hunt of Diana,Mus�e d'Orsay,,Mus�e d'Orsay,,Arnold Böcklin,oil paint,,,public domain,,1896,http://commons.wikimedia.org/wiki/Special:FilePath/Arnold%20B%C3%B6cklin%20-%20Die%20Jagd%20der%20Diana%20%281896%29.jpg
,http://www.wikidata.org/entity/Q17493685,The Children of Gabriel Thomas,Mus�e de l'Évêché de Limoges,,Mus�e d'Orsay,,Berthe Morisot,oil paint,,,public domain,,1894,http://commons.wikimedia.org/wiki/Special:FilePath/Les%20enfants%20de%20Gabriel%20Thomas.jpg
,http://www.wikidata.org/entity/Q29654460,,Mus�e d'Orsay,,Mus�e d'Orsay,,Carlos de Abauza,oil paint,,,public domain,,1912,
,http://www.wikidata.org/entity/Q29654740,,Mus�e d'Orsay,,Mus�e d'Orsay,,Cecil Lawson,oil paint,,,,,1914,
,http://www.wikidata.org/entity/Q17494350,Grazing Sheeps,Mus�e d'Orsay,,Mus�e d'Orsay,,Charles Jacque,oil paint,,,public domain,,1871,
,http://www.wikidata.org/entity/Q17495949,,Mus�e d'Orsay,,Mus�e d'Orsay,,Charles Jacque,oil paint,,,public domain,,1861,
,http://www.wikidata.org/entity/Q17490710,,Mus�e d'Orsay,,Mus�e d'Orsay,,Charles Monginot,oil paint,,,public domain,,1864,
"Le retour du troupeau, le soir",http://www.wikidata.org/entity/Q17495474,"Le retour du troupeau, le soir",Château de Compiègne,,Mus�e d'Orsay,,Constant Troyon,oil paint,,https://compiegne-peintures.fr/notice/notice.php?id=601,public domain,,1850,
,http://www.wikidata.org/entity/Q17493126,Grazing at the goose keeper,Mus�e d'Orsay,,Mus�e d'Orsay,,Constant Troyon,oil paint,,,public domain,,1854,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Pat%C3%BBrage%20%C3%A0%20la%20gardeuse%20d%27oies%20M506004%2007-534182%20p.jpg
Le retour à la ferme,http://www.wikidata.org/entity/Q17493316,Le retour à la ferme,Mus�e d'Orsay,,Mus�e d'Orsay,,Constant Troyon,oil paint,,,public domain,,1854,
,http://www.wikidata.org/entity/Q17491577,,Mus�e d'Orsay,,Mus�e d'Orsay,,Constant Troyon,oil paint,,,public domain,,1854,
,http://www.wikidata.org/entity/Q17493120,,Mus�e d'Orsay,,Mus�e d'Orsay,,Constant Troyon,oil paint,,,public domain,,1860,
,http://www.wikidata.org/entity/Q17495473,,Mus�e des Beaux-Arts de Chartres,,Mus�e d'Orsay,,Constant Troyon,oil paint,,,public domain,,1855,
,http://www.wikidata.org/entity/Q17491578,,Mus�e des Peintres de Barbizon,,Mus�e d'Orsay,,Constant Troyon,oil paint,,,public domain,,1855,
The Bellelli Family,http://www.wikidata.org/entity/Q2622172,The Bellelli Family,Mus�e d'Orsay,,Mus�e d'Orsay,,Edgar Degas,oil paint,France,,public domain,,1858,http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Degas%20-%20The%20Bellelli%20Family%20-%20Google%20Art%20Project.jpg
Jeune fille au chien,http://www.wikidata.org/entity/Q17491791,Young Girl with a Dog,Mus�e Petiet de Limoux,,Mus�e d'Orsay,,Edmond Aman-Jean,oil paint,France,https://musees.aude.fr/fr/search-notice/detail/l80whk80nhbcf7v8xvzqktkbrwws1j7n4h1tz31ppy2g0wyvnr,public domain,,1913,http://commons.wikimedia.org/wiki/Special:FilePath/Edmond%20Aman-Jean%20-%20Jeune%20fille%20au%20chien%2002.jpg
,http://www.wikidata.org/entity/Q17492443,"La vallée, la Seine entre les Andelys et Anfreville",Mus�e d'Orsay,,Mus�e d'Orsay,,Eug�ne  Antoine Durenne,oil paint,,,public domain,,1923,
,http://www.wikidata.org/entity/Q17493531,,Mus�e d'Orsay,,Mus�e d'Orsay,,Eug�ne Carri�re,oil paint,,,public domain,,1885,
